Unnamed: 0,name,lawyer_id,firm_id,profile_url
438,Stephen Culhane's Lawyer Profile,50804,9117,https://www.bestlawyers.com/lawyers/stephen-culhane/50804
439,Amanda N. Persaud's Lawyer Profile,339327,12863,https://www.bestlawyers.com/lawyers/amanda-n-persaud/339327
440,David I. Greenberg's Lawyer Profile,53590,56727,https://www.bestlawyers.com/lawyers/david-i-greenberg/53590
441,Elise Green's Lawyer Profile,220376,2669,https://www.bestlawyers.com/lawyers/elise-green/220376
442,Prakash Mehta's Lawyer Profile,136026,15305,https://www.bestlawyers.com/lawyers/prakash-mehta/136026
443,Adam B. Ghander's Lawyer Profile,224409,2669,https://www.bestlawyers.com/lawyers/adam-b-ghander/224409
444,Robert M. Hirsh's Lawyer Profile,45009,27680,https://www.bestlawyers.com/lawyers/robert-m-hirsh/45009
445,Samuel D. Chafetz's Lawyer Profile,24643,7409,https://www.bestlawyers.com/lawyers/samuel-d-sam-chafetz/24643
446,Richard Lieberman's Lawyer Profile,65346,7155,https://www.bestlawyers.com/lawyers/richard-lieberman/65346
447,Lawrence N. Barshay's Lawyer Profile,126862,22385,https://www.bestlawyers.com/lawyers/lawrence-n-barshay/126862
448,Elizabeth Lenas's Lawyer Profile,145288,22771,https://www.bestlawyers.com/lawyers/elizabeth-liza-lenas/145288
449,Jennifer A. Spiegel's Lawyer Profile,280177,3701,https://www.bestlawyers.com/lawyers/jennifer-a-spiegel/280177
450,Leor Landa's Lawyer Profile,147891,22536,https://www.bestlawyers.com/lawyers/leor-landa/147891
451,Glenn R. Sarno's Lawyer Profile,59264,27681,https://www.bestlawyers.com/lawyers/glenn-r-sarno/59264
452,Gary D. LeClair's Lawyer Profile,47863,19348,https://www.bestlawyers.com/lawyers/gary-d-leclair/47863
453,Thomas H. Bell's Lawyer Profile,44842,27681,https://www.bestlawyers.com/lawyers/thomas-h-bell/44842
454,Lior J. Ohayon's Lawyer Profile,168523,27690,https://www.bestlawyers.com/lawyers/lior-j-ohayon/168523
455,Tully D. Hazell's Lawyer Profile,281594,1548,https://www.bestlawyers.com/lawyers/tully-d-hazell/281594
456,R. Clyde Parker's Lawyer Profile,48213,15624,https://www.bestlawyers.com/lawyers/r-clyde-parker-jr/48213
457,Phillip Isom's Lawyer Profile,112824,27690,https://www.bestlawyers.com/lawyers/phillip-isom/112824
458,Marc R. Lieberman's Lawyer Profile,157407,7155,https://www.bestlawyers.com/lawyers/marc-r-lieberman/157407
459,Richard A. Goldman's Lawyer Profile,65298,28390,https://www.bestlawyers.com/lawyers/richard-a-rich-goldman/65298
460,Alison S. Ressler's Lawyer Profile,13968,12959,https://www.bestlawyers.com/lawyers/alison-s-ressler/13968
461,Alfred Nicholas Purrington's Lawyer Profile,133659,52857,https://www.bestlawyers.com/lawyers/alfred-nicholas-nick-purrington/133659
462,Haynes P. Lea's Lawyer Profile,35734,17711,https://www.bestlawyers.com/lawyers/haynes-p-lea/35734
463,John M. Saada's Lawyer Profile,51605,2104,https://www.bestlawyers.com/lawyers/john-m-saada-jr/51605
464,Marco V. Masotti's Lawyer Profile,81574,27680,https://www.bestlawyers.com/lawyers/marco-v-masotti/81574
465,Frank B. Bennett's Lawyer Profile,37131,11762,https://www.bestlawyers.com/lawyers/frank-b-bennett/37131
466,Georgette A. Schaefer's Lawyer Profile,174738,28390,https://www.bestlawyers.com/lawyers/georgette-a-schaefer/174738
467,Gregory S. Curran's Lawyer Profile,46544,101835,https://www.bestlawyers.com/lawyers/gregory-s-greg-curran/46544
468,W. Graham McCall's Lawyer Profile,288663,16482,https://www.bestlawyers.com/lawyers/w-graham-mccall/288663
469,Barbara A. Kaye's Lawyer Profile,59054,4736,https://www.bestlawyers.com/lawyers/barbara-a-kaye/59054
470,Michael W. Wolitzer's Lawyer Profile,43455,27681,https://www.bestlawyers.com/lawyers/michael-w-wolitzer/43455
471,J. Matthew Mangan's Lawyer Profile,129237,17441,https://www.bestlawyers.com/lawyers/j-matthew-matt-mangan/129237
472,Michael J. Schmidtberger's Lawyer Profile,48435,3701,https://www.bestlawyers.com/lawyers/michael-j-schmidtberger/48435
473,Elizabeth Shea Fries's Lawyer Profile,40746,3701,https://www.bestlawyers.com/lawyers/elizabeth-shea-liz-fries/40746
474,William F. Sturman's Lawyer Profile,186293,91286,https://www.bestlawyers.com/lawyers/william-f-bill-sturman/186293
475,Andrew M. Ahern's Lawyer Profile,349033,22536,https://www.bestlawyers.com/lawyers/andrew-m-ahern/349033
476,Robert G. Leonard's Lawyer Profile,80367,17441,https://www.bestlawyers.com/lawyers/robert-g-leonard/80367
477,Geoffrey L. Newton's Lawyer Profile,60115,33939,https://www.bestlawyers.com/lawyers/geoffrey-l-geoff-newton/60115
478,Barry M. Wolf's Lawyer Profile,40022,12756,https://www.bestlawyers.com/lawyers/barry-m-wolf/40022
479,Wagner R. Dias da Silva's Lawyer Profile,147007,24736,https://www.bestlawyers.com/lawyers/wagner-r-dias-da-silva/147007
